Date_Sampled,Sample_Site,Percent_Composition,Density_code,RA_Index,Latitude,Longitude
7/10/18,Agua Hedionda Lagoon,0,X,0,33.14,-117.34
7/17/18,Agua Hedionda Lagoon,0,X,0,33.14,-117.34
7/31/18,Agua Hedionda Lagoon,0,X,0,33.14,-117.34
7/20/18,Ano Nuevo Beach,6,P,0.06,37.11,-122.33
7/2/18,Bean Hollow State Beach,4,P,0.08,37.22,-122.41
7/21/18,Bean Hollow State Beach,0.5,R,0.01,37.22,-122.41
7/2/18,"Bodega Harbor, USCG Dock",0.5,R,0.25,38.31,-123.05
7/16/18,"Bodega Harbor, USCG Dock",0.5,R,0.01,38.31,-123.05
7/9/18,Bolinas Lagoon,1,P,0,37.91,-122.68
7/16/18,Bolinas Lagoon,0,X,0,37.91,-122.68
7/30/18,Bolinas Lagoon,0,X,0,37.91,-122.68
7/6/18,Bolsa Chica,0,X,0,33.68,-118.03
7/13/18,Bolsa Chica,0,X,0,33.68,-118.03
7/27/18,Bolsa Chica,0,X,0,33.68,-118.03
7/13/18,Cabrillo Beach Pier,0,X,0,33.71,-118.28
7/25/18,Cayucos Pier,2,P,0,35.45,-120.91
7/8/18,Cayucos Pier,0.5,R,0,35.45,-120.91
7/12/18,"CDFG Trawl Block 687, SC-SR Is",2,P,NA,34.03,-119.97
7/25/18,"CDFG Trawl Block 860, MB",2,P,0,32.74,-117.28
7/3/18,"CDFG Trawl Block 860, MB",0,X,0,32.74,-117.28
7/25/18,Coyote Point Boat Launch,0,X,0,37.59,-122.32
7/5/18,"Drakes Bay, Chimney Rock LBS",1,P,0.03,37.99,-122.97
7/16/18,"Drakes Bay, Chimney Rock LBS",0.5,R,0.67,37.99,-122.97
7/28/18,Ellwood Pier,0,X,0,34.43,-119.92
7/8/18,"GFNMS, Marin Line 11E",1,P,0.02,38.22,-123.18
7/8/18,"GFNMS, Marin Line 11W",12,C,0.13,38.21,-123.59
7/7/18,"GFNMS, Marin Line 2E",8,P,0.04,38.06,-122.99
7/6/18,"GFNMS, Marin Line 4E",4,P,0.04,37.89,-123.09
7/6/18,"GFNMS, Marin Line 4W",15,C,0.83,37.88,-123.47
7/8/18,"GFNMS, Marin Line N11-WN",0.5,R,0,38.22,-123.14
7/7/18,"GFNMS, Marin Line N2WN",9,P,0.1,38.06,-123.13
7/6/18,"GFNMS, Marin Line N4-WN",8,P,0.71,37.9,-122.87
7/5/18,"GFNMS, San Francisco Line 6E",1,P,0.02,37.69,-122.51
7/5/18,"GFNMS, San Francisco Line 6W",12,C,0.03,37.69,-123.18
7/4/18,"GFNMS, San Mateo Line 10E",4,P,0.07,37.36,-122.46
7/4/18,"GFNMS, San Mateo Line 10W",4,P,0.01,37.35,-122.94
7/22/18,"GFNMS, SLO Line 16M",0,X,0,35.79,-122.66
7/9/18,"GFNMS, Sonoma Line 13E",5,P,0,38.38,-123.08
7/9/18,"GFNMS, Sonoma Line 13W",10,C,0.06,38.36,-123.71
7/9/18,"GFNMS, Sonoma Line N13-WN",0.5,R,0,38.37,-123.23
7/20/18,Goat Rock,4,P,0.2,38.44,-123.13
7/5/18,Goat Rock,0.5,R,0,38.44,-123.13
7/25/18,Goleta Pier,1,P,0,34.41,-119.83
7/5/18,Goleta Pier,0.5,R,0,34.41,-119.83
7/11/18,Goleta Pier,0,X,0,34.41,-119.83
7/18/18,Goleta Pier,0,X,0,34.41,-119.83
7/23/18,"Humboldt Bay, Indian Is. Ch.",3,P,0.06,40.81,-124.16
7/2/18,"Humboldt Bay, Indian Is. Ch.",2,P,0.04,40.81,-124.16
7/9/18,"Humboldt Bay, Indian Is. Ch.",0.5,R,0.01,40.81,-124.16
7/16/18,"Humboldt Bay, Indian Is. Ch.",0.5,R,0.01,40.81,-124.16
7/10/18,Imperial Beach Pier,0.5,R,0,32.58,-117.14
7/18/18,Imperial Beach Pier,0.5,R,0,32.58,-117.14
7/3/18,Imperial Beach Pier,0,X,0,32.58,-117.14
7/2/18,"La Jolla, Scripps Pier",4,P,0,32.87,-117.26
7/30/18,"La Jolla, Scripps Pier",3,P,0,32.87,-117.26
7/9/18,"La Jolla, Scripps Pier",0,X,0,32.87,-117.26
7/16/18,"La Jolla, Scripps Pier",0,X,0,32.87,-117.26
7/23/18,Leo Carrillo State Beach,0,X,0,34.03,-118.92
7/16/18,"Los Angeles Breakwater, AGP1",12,C,0.2,33.7,-118.25
7/14/18,Los Angeles Harbor,0,X,0,33.71,-118.27
7/26/18,Los Angeles Harbor,0,X,0,33.71,-118.27
7/10/18,Malibu Pier,0,X,0,34.03,-118.67
7/17/18,"Monterey Bay, Commercial Wharf",8,P,0.01,36.61,-121.89
7/24/18,"Monterey Bay, Commercial Wharf",0.5,R,0,36.61,-121.89
7/4/18,"Monterey, Stillwater Cove",0,X,0,36.57,-121.94
7/11/18,"Monterey, Stillwater Cove",0,X,0,36.57,-121.94
7/17/18,"Monterey, Stillwater Cove",0,X,0,36.57,-121.94
7/31/18,"Monterey, Stillwater Cove",0,X,0,36.57,-121.94
7/2/18,"Morro Bay, Boat Launch",2,P,0.02,35.36,-120.85
7/16/18,"Morro Bay, Boat Launch",0.5,R,0.01,35.36,-120.85
7/23/18,"Morro Bay, Boat Launch",0.5,R,0.01,35.36,-120.85
7/9/18,"Morro Bay, Boat Launch",0,X,0,35.36,-120.85
7/28/18,"Morro Bay, North T-Pier",0.5,R,0,35.37,-120.86
7/12/18,"Morro Bay, North T-Pier",0,X,0,35.37,-120.86
7/6/18,"Newport Bay, Back Bay",0,X,0,33.62,-117.89
7/26/18,"Newport Bay, Back Bay",0,X,0,33.62,-117.89
7/2/18,Pacifica Pier,20,C,0.13,37.63,-122.5
7/8/18,Pacifica Pier,1,P,0,37.63,-122.5
7/15/18,Pacifica Pier,1,P,0.02,37.63,-122.5
7/29/18,Pacifica Pier,0.5,R,0,37.63,-122.5
7/13/18,Palos Verdes Rocky Pt Offshore,2,P,0,33.77,-118.46
7/21/18,Palos Verdes Rocky Pt Offshore,2,P,0,33.77,-118.46
7/27/18,Palos Verdes Rocky Pt Offshore,0,X,0,33.77,-118.46
7/5/18,"Palos Verdes, OFFSHORE",0,X,0,33.72,-118.35
7/2/18,Pillar Point Harbor,2,P,0,37.5,-122.49
7/10/18,Pismo Pier,2,P,0.02,35.14,-120.65
7/24/18,Pismo Pier,0,X,0,35.14,-120.65
7/3/18,Point Arena Pier,3,P,0.03,38.91,-123.71
7/25/18,Point Arena Pier,0.2,R,0,38.91,-123.71
7/20/18,"Point Dume, offshore",0.5,R,0,34,-118.81
7/14/18,"Point Dume, offshore",0,X,0,34,-118.81
7/3/18,"Port San Luis, Diablo Cove",2,P,0,35.14,-120.82
7/20/18,"Port San Luis, Diablo Cove",0.5,R,0.03,35.14,-120.82
7/29/18,"Pyramid Pt., Gilbert Creek",10,C,0.2,41.98,-124.21
7/17/18,Rodeo Beach,0,X,0,37.83,-122.53
7/2/18,"Russian River, Jenner",1,P,0,38.45,-123.12
7/12/18,"Russian River, Jenner",0.5,R,0.07,38.45,-123.12
7/20/18,"Russian River, Jenner",0.5,R,0.01,38.45,-123.12
7/9/18,San Clemente Pier,0,X,0,33.42,-117.62
7/30/18,San Clemente Pier,0,X,0,33.42,-117.62
7/31/18,"San Diego Bay, U.S. Navy Pier",2,P,0,32.7,-117.24
7/9/18,"San Diego Bay, U.S. Navy Pier",0,X,0,32.7,-117.24
7/19/18,"San Diego Bay, U.S. Navy Pier",0,X,0,32.7,-117.24
7/25/18,"San Francisco Bay, Golden Gate",0,X,0,37.82,-122.48
7/11/18,"San Francisco, Pier 15",0.5,R,0,37.8,-122.4
7/25/18,"San Francisco, Pier 15",0,X,0,37.8,-122.4
7/16/18,"San Francisco, Presidio Pier",5,P,0.02,37.81,-122.47
7/1/18,"San Francisco, Presidio Pier",0,X,0,37.81,-122.47
7/3/18,San Simeon Pier,69,A,0.38,35.64,-121.19
7/11/18,San Simeon Pier,1,P,0,35.64,-121.19
7/18/18,San Simeon Pier,1,P,0,35.64,-121.19
7/31/18,San Simeon Pier,0.5,R,0,35.64,-121.19
7/13/18,Santa Cruz Island Offshore,2,P,0,34.16,-119.67
7/18/18,Santa Cruz Pier,80,A,1.6,36.96,-122.02
7/11/18,Santa Cruz Pier,10,C,0,36.96,-122.02
7/25/18,Santa Cruz Pier,3,P,0.06,36.96,-122.02
7/5/18,Santa Cruz Pier,0,X,0,36.96,-122.02
7/16/18,"Santa Cruz, Capitola Pier",30.5,C,0.06,36.97,-121.95
7/23/18,"Santa Cruz, Capitola Pier",3,P,0.01,36.97,-121.95
7/2/18,"Santa Cruz, Capitola Pier",0,X,0,36.97,-121.95
7/10/18,"Santa Cruz, Capitola Pier",0,X,0,36.97,-121.95
7/3/18,"Santa Cruz, Seacliff Pier",0.5,R,0,36.97,-121.91
7/11/18,Santa Rosa Island,0,X,0,34.06,-120.1
7/8/18,"Tomales Bay, Lease #M430-12",15,C,0.3,38.13,-122.87
7/1/18,"Tomales Bay, Lease #M430-15",1,P,0.08,38.22,-122.94
7/8/18,"Tomales Bay, Lease #M430-15",1,P,0.04,38.22,-122.94
7/29/18,"Tomales Bay, Lease #M430-15",0.2,R,0.01,38.22,-122.94
7/15/18,"Tomales Bay, Lease #M430-15",0,X,0,38.22,-122.94
7/8/18,"Tomales Bay, WQ Station #12",3,P,0.03,38.16,-122.9
7/20/18,Trinidad Pier,20.5,C,0.12,41.06,-124.15
7/1/18,Trinidad Pier,0.5,R,0.01,41.06,-124.15
7/5/18,Ventura Pier,0,X,0,34.27,-119.29
7/12/18,Ventura Pier,0,X,0,34.27,-119.29
7/18/18,Ventura Pier,0,X,0,34.27,-119.29
7/26/18,Ventura Pier,0,X,0,34.27,-119.29
7/18/18,"Ventura, Anacapa Is., East",0.5,R,0,34.02,-119.36
7/16/18,"Ventura, Port Hueneme Pier",0,X,0,34.14,-119.2
7/17/18,Wilson Creek,10,C,0.05,41.6,-124.1
